 Przeci?tne miesi?czne wynagrodzenia brutto w z?;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
DOLNO?L?SKIE;3 412,37;3 587,25;3 709,32;3 868,86;4 042,86;4 204,24;4 385,84;4 654,51;4 942,39;5 323,55;5 693,69;6 242,88;6 945,01;7 850,30
KUJAWSKO-POMORSKIE;2 910,82;3 062,32;3 182,31;3 322,09;3 439,06;3 540,25;3 672,98;3 886,20;4 139,21;4 494,37;4 831,73;5 286,83;5 888,55;6 721,48
LUBELSKIE;3 099,60;3 257,14;3 382,66;3 488,61;3 605,03;3 699,48;3 815,95;4 020,25;4 260,71;4 564,85;4 914,95;5 318,68;5 909,60;6 774,52
LUBUSKIE;2 920,43;3 073,95;3 203,18;3 282,07;3 425,38;3 567,60;3 734,90;3 950,95;4 239,92;4 559,96;4 832,07;5 286,50;6 014,38;6 882,46
?ÓDZKIE;3 066,02;3 245,97;3 383,30;3 510,20;3 618,63;3 790,76;3 925,10;4 141,94;4 441,29;4 790,10;5 148,38;5 622,29;6 210,68;7 052,93
MA?OPOLSKIE;3 169,90;3 332,98;3 456,16;3 574,22;3 700,06;3 906,96;4 077,91;4 347,10;4 678,95;5 098,26;5 536,07;6 046,95;6 824,68;7 736,56
MAZOWIECKIE;4 279,55;4 504,66;4 637,58;4 773,41;4 927,34;5 098,55;5 240,86;5 523,65;5 888,90;6 248,47;6 581,81;7 108,20;7 913,14;8 928,60
OPOLSKIE;3 137,29;3 249,58;3 358,42;3 473,40;3 632,84;3 793,28;3 927,04;4 144,91;4 379,25;4 712,47;5 078,51;5 492,82;6 134,18;6 975,81
PODKARPACKIE;2 877,43;3 023,21;3 152,36;3 282,69;3 412,30;3 527,62;3 653,67;3 837,17;4 089,81;4 388,16;4 707,81;5 172,11;5 662,53;6 436,15
PODLASKIE;3 019,83;3 178,15;3 310,71;3 432,71;3 530,17;3 647,08;3 767,20;4 005,94;4 264,04;4 575,88;4 929,64;5 412,89;6 012,94;6 805,04
POMORSKIE;3 383,58;3 567,49;3 696,89;3 847,12;4 011,59;4 132,13;4 274,73;4 496,64;4 794,74;5 142,01;5 484,46;5 994,33;6 696,84;7 550,99
?L?SKIE;3 528,19;3 794,62;3 855,26;4 022,80;4 100,51;4 221,45;4 295,29;4 481,57;4 825,28;5 177,86;5 450,86;5 907,84;6 727,57;7 611,38
?WI?TOKRZYSKIE;2 971,58;3 137,91;3 250,94;3 349,81;3 435,93;3 580,62;3 669,57;3 911,49;4 171,17;4 490,41;4 800,21;5 262,19;5 782,60;6 585,16
WARMI?SKO-MAZURSKIE;2 879,97;3 019,37;3 150,27;3 264,63;3 386,96;3 495,02;3 619,16;3 802,98;4 028,33;4 319,51;4 709,12;5 126,75;5 674,89;6 447,09
WIELKOPOLSKIE;3 126,36;3 284,41;3 397,25;3 515,31;3 597,69;3 723,69;3 894,10;4 124,13;4 382,96;4 687,39;4 985,75;5 379,43;6 019,68;6 772,06
ZACHODNIOPOMORSKIE;3 120,15;3 289,56;3 417,76;3 539,12;3 649,27;3 793,68;3 946,28;4 154,25;4 431,95;4 769,71;5 099,49;5 549,85;6 169,94;7 007,40
